panel,n,m,cases,shor_tight,max_shor_gap,kron_tight,max_kron_gap,lazy_kron_tight,max_lazy_kron_gap,max_lazy_kron_minus_full,max_lazy_kron_violation,median_lazy_kron_rounds,max_lazy_kron_rounds,median_lazy_kron_cuts,max_lazy_kron_cuts,sep_tight,max_sep_gap,lazy_sep_tight,max_lazy_sep_gap,max_lazy_minus_full,max_lazy_skew_violation,median_lazy_rounds,max_lazy_rounds,median_lazy_cuts,max_lazy_cuts,gurobi_closed,Shor_median_time,Shor_max_time,KRON_median_time,KRON_max_time,Lazy KRON_median_time,Lazy KRON_max_time,Full SEP_median_time,Full SEP_max_time,Lazy SEP_median_time,Lazy SEP_max_time,Gurobi_median_time,Gurobi_max_time
square,2,2,10,0,0.8809057788202107,10,1.3264605933320825e-06,9,1.7181444259014965e-05,2.944651413372412e-06,8.278019091528523e-08,5.0,5.0,4.0,4.0,10,2.650801660073431e-06,10,1.572296117399021e-06,4.2042707093514764e-08,1.4583040083664123e-08,1.0,1.0,0.0,0.0,10,0.0011511041084304452,0.007076875073835254,0.002791208098642528,0.0034990839194506407,0.0038758961018174887,0.0046038751024752855,0.003002062439918518,0.0033246250823140144,0.0027833539061248302,0.002994250040501356,0.05492454138584435,0.7174019999802113
square,4,4,10,0,0.7650992156144303,9,2.196280341518857e-05,10,8.221570302537281e-06,2.7017472632451245e-06,6.097305629118018e-08,6.0,9.0,5.0,8.0,10,7.338809838385514e-07,10,4.087868283275576e-06,5.6218915744921105e-08,5.868781433049364e-08,1.0,1.0,0.0,0.0,5,0.0013965209946036339,0.0015663751401007175,0.010311270947568119,0.010862624971196055,0.007867937092669308,0.012678290950134397,0.007108729565516114,0.00782095780596137,0.006548541481606662,0.007334457943215966,4.932503791991621,5.00294016674161
square,6,6,10,0,0.7586575519911136,10,2.36919501067136e-06,10,3.2342333428685026e-06,3.601019280097262e-06,8.377189520001493e-08,4.5,7.0,3.5,6.0,10,3.262817353491395e-08,10,1.2198132328737786e-07,3.53800828634121e-08,2.6174267440948196e-09,1.0,2.0,0.0,50.0,0,0.0016031875275075436,0.00172354094684124,0.06858110404573381,0.08748800004832447,0.009566624998115003,0.015272125136107206,0.020765250083059072,0.025054208002984524,0.014347312622703612,0.027930125128477812,5.002463249722496,5.004054291639477
square,8,8,10,0,0.7293107310457556,9,0.23315815464757828,8,0.23297066056898094,7.296770490938798e-06,9.953540231800491e-08,6.5,24.0,5.5,23.0,10,5.162506310877288e-08,10,8.121065497212897e-08,4.366826544810465e-08,1.1002018783859424e-08,1.0,2.0,0.0,50.0,0,0.0020145000889897346,0.002394084120169282,0.6048365209717304,0.8163905830588192,0.021795541397295892,0.10611170786432922,0.0843606045236811,0.1040066669229418,0.03237089607864618,0.0566947921179235,5.002703791484237,5.003862082958221
square,10,10,10,0,0.6472123021255225,10,1.0076494746952224e-06,9,2.540251812469215e-05,8.886737205671125e-06,9.561054013528034e-08,7.0,12.0,6.0,11.0,10,8.387037324947194e-08,10,6.883216043052947e-08,3.6762557442671095e-08,2.00163891017624e-09,1.0,2.0,0.0,50.0,0,0.0024352918844670057,0.002712417161092162,4.599820854025893,6.32958074985072,0.03790847852360457,0.06622704211622477,0.3975463130045682,0.5046644168905914,0.05804225045721978,0.10495929094031453,13.813527354039252,19.48167870938778
square,15,15,10,0,0.5542677752825578,9,0.1367156217989797,8,0.13733678067462676,2.0133973606561995e-05,8.960692045545534e-08,8.0,20.0,7.0,19.0,10,1.3199358174100912e-07,10,4.999235162108697e-07,2.5533609004924074e-08,1.0077031668900567e-08,1.0,4.0,0.0,150.0,0,0.003792916424572468,0.009033583104610443,611.6479446250014,905.1771172499284,0.15097591641824692,0.38279095804318786,16.334284395561554,18.548935750033706,0.2511716040316969,0.7823423750232905,1543.7229107918683,2787.0131197921
