n,cases,Lazy KRON_cases,Lazy KRON_median_time,Lazy KRON_tight,Lazy KRON_max_gap,Lazy KRON_max_rank1,Lazy KRON_max_feasibility_violation,Lazy KRON_rounds,Lazy KRON_cuts,Lazy KRON_max_violation,Lazy SEP_cases,Lazy SEP_median_time,Lazy SEP_tight,Lazy SEP_max_gap,Lazy SEP_max_rank1,Lazy SEP_max_feasibility_violation,Lazy SEP_rounds,Lazy SEP_cuts,Lazy SEP_max_violation
20,10,10,0.30904125049710274,4,4.6454928218617386e-05,5.4550413709235155e-05,0.0,4/18,4/17,8.825623730768672e-08,10,1.0076083125022706,10,1.6264734895107285e-07,1.8414468566903393e-07,0.0,1/5,0/100,7.529924127172398e-08
25,10,10,1.4739187289960682,6,0.38492864385246883,0.4353105741129478,0.0,7/22,6/21,7.782512761964126e-08,10,3.6910895004693884,10,3.846831447361898e-06,4.4910081896731555e-06,0.0,1/10,0/900,9.945391118634794e-08
30,10,10,20.139488207991235,4,0.4191941828874887,0.47698043643550064,0.0,6/37,5/36,9.59957987990368e-08,10,12.147437520994572,10,5.383728816483109e-07,4.84740496617331e-07,0.0,2/6,52/500,9.183721385447319e-08
