n,cases,Full SEP_cases,Full SEP_median_time,Full SEP_max_time,Full SEP_tight,Full SEP_max_gap,Full SEP_max_relative_pd_gap,Lazy SEP_cases,Lazy SEP_median_time,Lazy SEP_max_time,Lazy SEP_tight,Lazy SEP_max_gap,Lazy SEP_max_relative_pd_gap,Gurobi_cases,Gurobi_median_time,Gurobi_max_time,Gurobi_tight,Gurobi_max_gap,Gurobi_max_relative_pd_gap,Gurobi_optimal,Gurobi_time_limit,median_lazy_rounds,max_lazy_rounds,median_lazy_cuts,max_lazy_cuts,max_lazy_skew,max_lazy_rank1,max_lazy_certification_gap,max_lazy_feasibility_violation
5,38,38,0.01334206247702241,0.014181583188474178,38,4.872259053097185e-07,8.898273483734914e-09,38,0.02513695802190341,0.029546833015047014,38,1.1961079370337345e-06,2.508992428531634e-09,38,0.04932395834475756,0.09669500030577183,38,8.665778038437785e-07,,38,0,2.0,2.0,80.0,100.0,7.764882524595072e-09,7.617371052120679e-07,1.1961079370337345e-06,0.0
10,70,70,0.457076333463192,0.6252258331514895,70,2.3292035631694807e-07,6.796255104131748e-10,70,0.14371264600777067,0.17413175001274794,70,2.0154150942468973e-07,1.3808845283347634e-09,70,0.44726097909733653,5.00267979176715,69,0.00014554732425409912,,65,5,2.0,2.0,100.0,100.0,8.353863299126961e-09,1.498532541145322e-07,2.0154150942468973e-07,0.0
20,104,104,1016.1539627704769,2961.13194525009,104,3.4809661287557165e-07,3.511059294568732e-10,104,2.177367228490766,3.091397291980684,104,7.500979847604792e-07,1.2522369054769068e-09,104,487.4524589998182,8883.501207875088,93,0.00014861077936554137,,77,27,2.0,3.0,100.0,200.0,3.860726656273344e-08,5.893303139375656e-07,7.500979847604792e-07,0.0
