n,cases,Lazy KRON_cases,Lazy KRON_median_time,Lazy KRON_tight,Lazy KRON_max_gap,Lazy KRON_max_rank1,Lazy KRON_max_feasibility_violation,Lazy KRON_rounds,Lazy KRON_cuts,Lazy KRON_max_violation,Lazy SEP_cases,Lazy SEP_median_time,Lazy SEP_tight,Lazy SEP_max_gap,Lazy SEP_max_rank1,Lazy SEP_max_feasibility_violation,Lazy SEP_rounds,Lazy SEP_cuts,Lazy SEP_max_violation
20,10,10,0.293568854482146,8,1.7396523503332424e-05,2.096093827705106e-05,3.266601078522058e-08,4/9,3/8,4.7305496270298244e-08,10,1.006354270502925,10,1.7345455453804571e-07,2.616276522796679e-07,2.861344494675677e-09,1/2,0/50,2.835988810630241e-08
25,10,10,3.8464720209885854,9,9.20823495789454e-05,0.00010805960057434666,3.675624493659768e-08,3/7,2/6,6.723450703559925e-08,10,3.2030586664914154,10,9.534843977718528e-08,1.1019604528419779e-07,1.1599339266865627e-09,1/1,0/0,1.6165331529968685e-09
30,10,10,14.541614167013904,9,1.8105440418396587e-05,2.3859583852497893e-05,3.308695650794391e-08,4/7,3/6,8.465490169747442e-08,10,9.168197833001614,10,1.727862603480047e-08,2.3626576032564037e-08,2.593897097113995e-09,1/3,0/100,1.5391012366493262e-09
