panel,n,m,seed,generator,generator_alpha,generator_sigma,data_scale,prefilter_relative_gap,screen_relative_gap,screen_absolute_gap,method,status,value,lower_bound,upper_bound,exact_value,upper_gap,lower_gap,relative_upper_gap,relative_lower_gap,runtime,rank1_residual,relative_rank1_residual,pd_gap,relative_pd_gap,shor_gap,relative_shor_gap,x_trace,y_trace,max_skew_violation,fro_skew_violation,relative_max_skew_violation,relative_fro_skew_violation,lazy_cut_strategy,n_cuts,n_iters,n_rounds,full_constraint_count,oracle_solves,dual_bracket_gap,relative_dual_bracket_gap,oracle_margin,gurobi_time_limit,gurobi_mip_gap,gurobi_sol_count,rank1_repairs,rank1_residual_initial_max
square,2,2,4,correlated-top,3.0,0.1,3.0610419063796503,0.01,0.040148407642959696,0.05608314550873561,Shor,Optimal,-1.396895887066898,-1.396895887066898,-1.1596009474547024,-1.3408127427195458,0.18121179526484332,0.056083144347352176,0.13515071082729627,0.040148406811556694,0.001107791904360056,0.7606493309231006,0.32162139231377984,9.797429534330604e-10,7.013714926817163e-10,0.056083144347352176,0.040148406811556694,1.000000007561829,1.0000000081937037,,,,,,,,,,,,,,,,,,
square,2,2,4,correlated-top,3.0,0.1,3.0610419063796503,0.01,0.040148407642959696,0.05608314550873561,Full SEP,SolutionStatus.Optimal,-1.3408127427195458,-1.34081274253763,-1.3408127427195458,-1.3408127427195458,0.0,-1.8191581574455995e-10,0.0,0.0,0.001157625112682581,2.951513521145349e-09,2.951513521145349e-09,-1.8191581574455995e-10,1.3567578077724967e-10,,,,,,,,,,,,,,,,,,,,,,
square,2,2,4,correlated-top,3.0,0.1,3.0610419063796503,0.01,0.040148407642959696,0.05608314550873561,Dual LOP/TRS,OPTIMAL,-1.3408127415581623,-1.3408132959468282,-1.3408127415581623,-1.3408127427195458,1.1613834338675133e-09,5.532272824293472e-07,8.661786965955445e-10,4.1260575510528513e-07,0.017813917249441147,2.7784879766540884e-09,2.7784879766540884e-09,,,,,,,,,,,,,,,,23,7.568179709593892e-07,5.644469466757151e-07,-2.0242930492964106e-07,,,,0,3.087394260613214e-08
square,2,2,4,correlated-top,3.0,0.1,3.0610419063796503,0.01,0.040148407642959696,0.05608314550873561,Gurobi,OPTIMAL,-1.340813013172927,-1.3408139044179874,-1.340813013172927,-1.3408127427195458,-2.7045338124587204e-07,1.1616984416651377e-06,2.0170849968547492e-07,8.664128838739936e-07,0.025218625087291002,,,,,,,,,,,,,,,,,,,,,,5.0,6.647049600974601e-07,8,,
square,2,2,4,correlated-top,3.0,0.1,3.0610419063796503,0.01,0.040148407642959696,0.05608314550873561,Lazy SEP,Optimal,-1.3408127427196412,-1.3408127425377077,-1.3408127427196412,-1.3408127427195458,-9.547918011776346e-14,-1.818381001328362e-10,7.12099289301935e-14,0.0,0.0014429999864660203,2.9512714676527414e-09,2.9512714676527414e-09,-1.8193357931295395e-10,1.3568902913611073e-10,,,,,2.456368441983159e-15,2.456368441983159e-15,2.456368441983159e-15,2.456368441983159e-15,coordinate,1,2,2,1,,,,,,,,,
square,2,2,6,correlated-top,3.0,0.1,3.0584537147270834,0.01,0.20500057449587805,0.297508412143465,Shor,Optimal,-1.4512564800126793,-1.4512564800126793,-0.7439614227144531,-1.1537481309009605,0.4097867081865074,0.29750834911171875,0.3551786539983432,0.20500053106334415,0.0010447921231389046,1.4822625608072508,0.6983623699380104,2.512657193420864e-09,1.7313667349818908e-09,0.29750834911171875,0.20500053106334415,1.0000000109971303,1.0000000130699132,,,,,,,,,,,,,,,,,,
square,2,2,6,correlated-top,3.0,0.1,3.0584537147270834,0.01,0.20500057449587805,0.297508412143465,Full SEP,SolutionStatus.Optimal,-1.1537481309009605,-1.1537481313176916,-1.1537481309009605,-1.1537481309009605,0.0,4.167310940772495e-10,0.0,3.611976329715069e-10,0.0012082080356776714,4.2517313400579106e-08,4.2517313400579106e-08,4.167310940772495e-10,3.611976329715069e-10,,,,,,,,,,,,,,,,,,,,,,
square,2,2,6,correlated-top,3.0,0.1,3.0584537147270834,0.01,0.20500057449587805,0.297508412143465,Dual LOP/TRS,OPTIMAL,-1.1537480678692142,-1.1537487048910362,-1.1537480678692142,-1.1537481309009605,6.30317462668728e-08,5.739900756918104e-07,5.463215460869383e-08,4.97500082347672e-07,0.017651624977588654,2.395005160403863e-07,2.395005160403863e-07,,,,,,,,,,,,,,,,23,9.055600671548092e-07,7.848850129286457e-07,-2.68538245196126e-07,,,,0,2.8187448681844363e-06
square,2,2,6,correlated-top,3.0,0.1,3.0584537147270834,0.01,0.20500057449587805,0.297508412143465,Gurobi,OPTIMAL,-1.1537484773750206,-1.1537491957234143,-1.1537484773750206,-1.1537481309009605,-3.4647406010890336e-07,1.0648224537668227e-06,3.003029402883308e-07,9.229236802190501e-07,0.034989167004823685,,,,,,,,,,,,,,,,,,,,,,5.0,6.226213145626745e-07,10,,
square,2,2,6,correlated-top,3.0,0.1,3.0584537147270834,0.01,0.20500057449587805,0.297508412143465,Lazy SEP,Optimal,-1.1537481309009576,-1.1537481313176903,-1.1537481309009576,-1.1537481309009605,2.886579864025407e-15,4.1672976180961996e-10,2.5019150945633863e-15,3.611964782414641e-10,0.0013937500189058483,4.2517352988874844e-08,4.2517352988874844e-08,4.16732648389484e-10,3.6119898015655774e-10,,,,,5.828670879282072e-16,5.828670879282072e-16,5.828670879282072e-16,5.828670879282072e-16,coordinate,1,2,2,1,,,,,,,,,
square,2,2,8,correlated-top,3.0,0.1,3.2083582928301255,0.01,0.180465543668455,0.24914393872010132,Shor,Optimal,-1.380562370276178,-1.380562370276178,-0.8734749572116469,-1.131418431963537,0.25794347475189006,0.24914393831264103,0.22798238694435816,0.1804655433733142,0.0010149171575903893,1.2741461059737536,0.5938287830626261,1.370658253563306e-09,9.928260273305214e-10,0.24914393831264103,0.1804655433733142,1.0000000029623148,1.0000000036262755,,,,,,,,,,,,,,,,,,
square,2,2,8,correlated-top,3.0,0.1,3.2083582928301255,0.01,0.180465543668455,0.24914393872010132,Full SEP,SolutionStatus.Optimal,-1.131418431963537,-1.1314184333331767,-1.131418431963537,-1.131418431963537,0.0,1.369639734960515e-09,0.0,1.2105510168554834e-09,0.0011978340335190296,6.533303828792186e-07,6.533303828792186e-07,1.369639734960515e-09,1.2105510168554834e-09,,,,,,,,,,,,,,,,,,,,,,
square,2,2,8,correlated-top,3.0,0.1,3.2083582928301255,0.01,0.180465543668455,0.24914393872010132,Dual LOP/TRS,OPTIMAL,-1.1314184315560767,-1.1314185970916206,-1.1314184315560767,-1.131418431963537,4.074602877324196e-10,1.6512808365121145e-07,3.60132269566518e-10,1.4594782521312898e-07,0.018627415876835585,5.789321730370725e-08,5.789321730370725e-08,,,,,,,,,,,,,,,,23,8.216538107674864e-07,7.262155782834018e-07,-6.561182668285426e-07,,,,0,5.488081285942448e-07
square,2,2,8,correlated-top,3.0,0.1,3.2083582928301255,0.01,0.180465543668455,0.24914393872010132,Gurobi,OPTIMAL,-1.1314179893707275,-1.131419229390238,-1.1314179893707275,-1.131418431963537,4.425928095130871e-07,7.97426701115711e-07,3.9118401911217126e-07,7.048021461907382e-07,0.049759834073483944,,,,,,,,,,,,,,,,,,,,,,5.0,1.09598709078196e-06,6,,
square,2,2,8,correlated-top,3.0,0.1,3.2083582928301255,0.01,0.180465543668455,0.24914393872010132,Lazy SEP,Optimal,-1.1314184319631995,-1.1314184333329131,-1.1314184319631995,-1.131418431963537,3.375077994860476e-13,1.369376168014469e-09,2.983050213353115e-13,1.2103180641847808e-09,0.0014510410255752504,6.533358987522751e-07,6.533358987522751e-07,1.369713675813955e-09,1.210616369205755e-09,,,,,2.328692794151266e-14,2.328692794151266e-14,2.328692794151266e-14,2.328692794151266e-14,coordinate,1,2,2,1,,,,,,,,,
square,2,2,9,correlated-top,3.0,0.1,3.0316170005395335,0.01,0.049836784436008065,0.07031101068169598,Shor,Optimal,-1.410825587513124,-1.410825587513124,-1.1432089087183035,-1.340514584729706,0.19730567601140248,0.07031100278341795,0.14718651945975367,0.04983677883767039,0.0011217501014471054,0.8245246754939539,0.3544078763826473,8.030811571302365e-09,5.69227808340105e-09,0.07031100278341795,0.04983677883767039,0.9999999891517996,0.9999999907830666,,,,,,,,,,,,,,,,,,
square,2,2,9,correlated-top,3.0,0.1,3.0316170005395335,0.01,0.049836784436008065,0.07031101068169598,Full SEP,SolutionStatus.Optimal,-1.340514584729706,-1.3405145811435484,-1.340514584729706,-1.340514584729706,0.0,-3.5861575931050993e-09,0.0,0.0,0.0010840422473847866,6.443376316740826e-08,6.443376316740826e-08,-3.5861575931050993e-09,2.6752096798918397e-09,,,,,,,,,,,,,,,,,,,,,,
square,2,2,9,correlated-top,3.0,0.1,3.0316170005395335,0.01,0.049836784436008065,0.07031101068169598,Dual LOP/TRS,OPTIMAL,-1.340514576831428,-1.3405146838159219,-1.340514576831428,-1.340514584729706,7.898278031603922e-09,9.908621589893585e-08,5.891974709992796e-09,7.39165464542888e-08,0.018327500205487013,1.0539823064262102e-08,1.0539823064262102e-08,,,,,,,,,,,,,,,,23,7.806174149305178e-07,5.823266424120061e-07,-6.736329210554892e-07,,,,0,2.8014085302447096e-08
square,2,2,9,correlated-top,3.0,0.1,3.0316170005395335,0.01,0.049836784436008065,0.07031101068169598,Gurobi,OPTIMAL,-1.3405146935365349,-1.3405152877273183,-1.3405146935365349,-1.340514584729706,-1.0880682888014803e-07,7.029976123451576e-07,8.11679494486515e-08,5.244234204423026e-07,0.020356417167931795,,,,,,,,,,,,,,,,,,,,,,5.0,4.432557034473231e-07,8,,
square,2,2,9,correlated-top,3.0,0.1,3.0316170005395335,0.01,0.049836784436008065,0.07031101068169598,Lazy SEP,Optimal,-1.34051458472969,-1.340514581143536,-1.34051458472969,-1.340514584729706,1.5987211554602254e-14,-3.586170027602975e-09,1.1926175020188853e-14,0.0,0.001334542001131922,6.443378775163352e-08,6.443378775163352e-08,-3.5861540403914205e-09,2.675207029630756e-09,,,,,4.649058915617843e-15,4.649058915617843e-15,4.649058915617843e-15,4.649058915617843e-15,coordinate,1,2,2,1,,,,,,,,,
square,2,2,13,correlated-top,3.0,0.1,2.9089352119961265,0.01,0.23403305633275717,0.38326773629614186,Shor,Optimal,-1.637664961958182,-1.637664961958182,-0.5974937943161663,-1.2543972384299198,0.6569034441137535,0.3832677235282622,0.5236805566759489,0.2340330485363642,0.000990749802440405,1.6780332985248132,0.7854530047740286,3.5018934418928893e-09,2.1383454633514416e-09,0.3832677235282622,0.2340330485363642,1.0000000174563328,1.0000000130470719,,,,,,,,,,,,,,,,,,
