panel,n,m,seed,generator,condition,center_scale,prefiltered,screen_relative_gap,screen_absolute_gap,method,status,value,lower_bound,upper_bound,reference_upper_bound,max_distance_squared,bound_gap,relative_bound_gap,runtime,rank1_residual,relative_rank1_residual,rank1_eig_largest,rank1_eig_second,rank1_eig_ratio,sep_rank1_residual,relative_sep_rank1_residual,pd_gap,relative_pd_gap,x_trace,y_trace,x_ball,y_ball,primal_feasibility_violation,certification_gap,relative_certification_gap,max_skew_violation,fro_skew_violation,relative_max_skew_violation,relative_fro_skew_violation,lazy_cut_strategy,max_kron_violation,fro_kron_violation,relative_max_kron_violation,relative_fro_kron_violation,n_cuts,n_iters,n_rounds,full_constraint_count,gurobi_time_limit,gurobi_mip_gap,gurobi_sol_count
square,4,4,205,ellipsoids,5.0,1.0,True,0.03152195869608021,2.16853688682653,Gurobi,TIME_LIMIT,,-66.62642581373694,-66.62594722929504,-66.62594722929504,72.80721588690871,0.0004785844419075147,7.18310244114642e-06,5.001886249985546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.183154038477729e-06,1
square,4,4,397,ellipsoids,5.0,1.0,True,0.010752948489641393,0.4484902899678076,Gurobi,TIME_LIMIT,,-41.26558883161514,-41.26009693146736,-41.26009693146736,44.65745575403613,0.005491900147781337,0.00013308667835060147,5.002498417161405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.00013310439277245385,2
square,4,4,467,ellipsoids,5.0,1.0,True,0.03891133993154901,2.6076883050830304,Gurobi,TIME_LIMIT,,-64.4085851403093,-64.40846456115989,-64.40846456115989,70.28386391422255,0.00012057914941010495,1.8720974719042853e-06,5.002612041309476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.8721009766597908e-06,3
square,4,4,2062,ellipsoids,5.0,1.0,True,0.027890157711712948,1.208891489415464,Gurobi,TIME_LIMIT,,-42.13629587261441,-42.13584330596253,-42.13584330596253,53.30697075136512,0.00045256665188020406,1.0740541913043194e-05,5.00294016674161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0740657273522815e-05,2
square,4,4,2170,ellipsoids,5.0,1.0,True,0.017957023460367177,1.3096634665324984,Gurobi,TIME_LIMIT,,-71.62374516403192,-71.62355229848822,-71.62355229848822,84.51157115108377,0.00019286554369557507,2.6927598278179466e-06,5.002081624697894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.6927670791897836e-06,1
square,4,4,2362,ellipsoids,5.0,1.0,True,0.012333055561321797,0.7195146704497262,Gurobi,OPTIMAL,-57.620826607686226,-57.62088192252934,-57.620826607686226,-57.620826607686226,67.09321200394247,5.531484311660506e-05,9.599791129711495e-07,2.940856209024787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.599800342853043e-07,1
square,4,4,2366,ellipsoids,5.0,1.0,True,0.015421007395172515,1.2632357641945902,Gurobi,OPTIMAL,-80.65331688528025,-80.65339523208985,-80.65331688528025,-80.65331688528025,100.6514206752685,7.834680960172591e-05,9.714012581401383e-07,3.375988957937807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.714022021138532e-07,2
square,4,4,2525,ellipsoids,5.0,1.0,True,0.0161905673315976,1.021664341981392,Gurobi,OPTIMAL,-62.080778028120505,-62.08083791236815,-62.080778028120505,-62.080778028120505,66.67848160351005,5.98842476478012e-05,9.646172581035777e-07,2.585372416768223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.646181887053846e-07,2
square,4,4,2915,ellipsoids,5.0,1.0,True,0.010424723037924188,0.6857028385460211,Gurobi,OPTIMAL,-65.0908972736581,-65.09095940333029,-65.0908972736581,-65.0908972736581,82.34727997204483,6.21296721874387e-05,9.54505399166999e-07,4.863121333997697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.545063102484256e-07,1
square,4,4,2988,ellipsoids,5.0,1.0,True,0.0211548893082596,0.8644710750936753,Gurobi,OPTIMAL,-39.999419181999556,-39.99945579981721,-39.999419181999556,-39.999419181999556,44.8253726407305,3.661781765629257e-05,9.154578962161757e-07,1.9791005002334714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.154587342801027e-07,1
