file,n,method,status,value,lower_bound,upper_bound,reference_value,bound_gap,relative_bound_gap,reference_error,relative_reference_error,runtime,pd_gap,relative_pd_gap,rank1_residual,relative_rank1_residual,rank1_eig_largest,rank1_eig_second,rank1_eig_ratio,x_trace,y_trace,x_ball,y_ball,primal_feasibility_violation,certification_gap,relative_certification_gap,max_skew_violation,fro_skew_violation,relative_max_skew_violation,relative_fro_skew_violation,lazy_cut_strategy,max_kron_violation,fro_kron_violation,relative_max_kron_violation,relative_fro_kron_violation,n_cuts,n_iters,n_rounds,full_constraint_count,gurobi_time_limit,gurobi_mip_gap,gurobi_sol_count
generated_centered_n_20_seed_125,20,Lazy KRON,Optimal,-6.342697904017021,-6.342697904017021,-6.342579036777041,,,,,,1.1507545839995146,-6.9677064118423e-10,1.0985398512247357e-10,2.1640124633984376e-05,2.1640124633984376e-05,1.999986508479779,1.3454773519961444e-05,148645.12624553713,1.0000000030881784,0.6681338305749384,0.9999783230630456,0.6681139237913176,0.0,0.00011886654320925061,1.8740801119443133e-05,,,,,,1.2483190883129878e-06,1.2483190883129878e-06,5.5075334956813436e-08,5.5075334956813436e-08,17,18,18,,,,
generated_centered_n_20_seed_143,20,Lazy KRON,Optimal,-6.707631275344935,-6.707631275344935,-6.707591170840905,,,,,,0.4034023330314085,-9.066258854772968e-10,1.3516334578642655e-10,7.075404952102947e-06,7.075404952102947e-06,1.9999954925629697,4.506756459969791e-06,443777.1400179844,1.00000000407668,1.0000000083256098,0.9999929239560081,0.9999928692970883,0.0,4.0103597404694824e-05,5.9789368831276365e-06,,,,,,5.521973241685238e-07,5.521973241685238e-07,2.4008593308843852e-08,2.4008593308843852e-08,5,6,6,,,,
generated_centered_n_20_seed_182,20,Lazy KRON,Optimal,-7.056037312698663,-7.056037312698663,-7.055867801233286,,,,,,0.7846606250386685,-5.134845437737567e-09,7.277236797623574e-10,2.8941824003757208e-05,2.8941824003757208e-05,1.999982529524127,1.745257557234976e-05,114595.26539410686,1.0000000224290237,1.0000000543178929,0.9999710385621738,0.9999752335901306,0.0,0.00016950633053181008,2.4023606716503626e-05,,,,,,2.029889048727396e-06,2.029889048727396e-06,8.825623730768672e-08,8.825623730768672e-08,11,12,12,,,,
generated_centered_n_20_seed_185,20,Lazy KRON,Optimal,-6.761313162833763,-6.761313162833763,-6.761180343006981,,,,,,0.21565066697075963,-2.3365043233525284e-10,3.455696056493952e-11,2.512208059419537e-05,2.512208059419537e-05,1.9999748777188393,2.5122051595508977e-05,79610.3323852886,1.0000000026752853,1.0000000025497149,0.9999748774829456,0.9999717837422594,0.0,0.00013281959313182767,1.9644087410764645e-05,,,,,,1.8069560883312638e-06,1.8069560883312638e-06,7.856349038587186e-08,7.856349038587186e-08,2,3,3,,,,
generated_centered_n_20_seed_220,20,Lazy KRON,Optimal,-5.68888694188549,-5.68888694188549,-5.688622665050961,,,,,,0.27821008407045156,-3.164402073707606e-11,5.562427423911532e-12,5.4550413709235155e-05,5.4550413709235155e-05,1.9999662835501897,3.3716305267828946e-05,59317.480597688605,1.00000000008074,1.0000000003718972,0.9999454494712956,0.9999518405135386,0.0,0.00026427680288509947,4.6454928218617386e-05,,,,,,8.425674659344696e-07,8.425674659344696e-07,3.663352125517471e-08,3.663352125517471e-08,3,4,4,,,,
generated_centered_n_25_seed_32,25,Lazy KRON,Optimal,-8.634886198628054,-8.634886198628054,-8.634839584562773,,,,,,1.0923415839206427,-1.9166144227256154e-09,2.2196174664469057e-10,6.050151961383718e-06,6.050151961383718e-06,1.9999960772676368,3.922120530935076e-06,509927.23489576596,1.0000000034296646,1.0000000058179304,0.9999939492004424,0.9999908480267139,0.0,4.661214866708008e-05,5.398341588903515e-06,,,,,,1.0052889496630787e-06,1.0052889496630787e-06,3.59031953024238e-08,3.59031953024238e-08,2,3,3,,,,
generated_centered_n_25_seed_34,25,Lazy KRON,Optimal,-7.193175060569959,-7.193175060569959,-6.577867927090123,,,,,,3.90027999994345,2.934807952215124e-11,4.079989611684192e-12,0.08983414862284499,0.08983414862284499,1.9052919688251273,0.08217675113835182,23.18529197652752,1.0000000004600818,1.000000001369586,0.8932322481288161,0.8778538214434856,0.0,0.6153071335091838,0.085540408553755,,,,,,2.1615132024309536e-06,2.1615132024309536e-06,7.782512761964126e-08,7.782512761964126e-08,19,20,20,,,,
generated_centered_n_25_seed_94,25,Lazy KRON,Optimal,-7.144717684975678,-7.144717684975678,-7.144717447842824,,,,,,0.7854967080056667,-1.1689156309557802e-09,1.636055730254875e-10,3.30850259082617e-08,3.30850259082617e-08,1.9999999687118173,1.365648440039548e-08,146450573.22760892,1.0000000113190302,1.0000000200426142,0.9999999607859414,0.9999999736308304,0.0,2.3596393816660566e-07,3.318995434854172e-08,,,,,,4.682928848169399e-09,4.682928848169399e-09,1.6724745923006644e-10,1.6724745923006644e-10,2,3,3,,,,
generated_centered_n_25_seed_100,25,Lazy KRON,Optimal,-5.790411036806499,-5.790411036806499,-4.753362252653765,,,,,,4.404843542026356,-5.336787900489526e-09,9.216595966273314e-10,0.16620094397736387,0.16620094397736387,1.850281753808344,0.12896080563951115,14.347628681698097,1.0000000380557685,1.0000001186854828,0.811679237421635,0.7462451348758814,0.0,1.0370487788159464,0.17909761112998338,,,,,,1.9376810235881797e-06,1.9376810235881797e-06,7.027877924955299e-08,7.027877924955299e-08,21,22,22,,,,
generated_centered_n_25_seed_115,25,Lazy KRON,Optimal,-8.535364685897429,-8.535364685897429,-8.535217180820746,,,,,,0.9552518751006573,-1.9382007110380073e-10,2.270788399048025e-11,2.011743477500657e-05,2.011743477500657e-05,1.999987288017647,1.2710449283214194e-05,157349.8499898734,1.0000000008072785,1.0000000009462486,0.9999798822135184,0.999982530276796,0.0,0.00014750488286274788,1.7281637295068893e-05,,,,,,1.5898114923132493e-06,1.5898114923132493e-06,5.677905391486153e-08,5.677905391486153e-08,3,4,4,,,,
generated_centered_n_25_seed_445,25,Lazy KRON,Optimal,-7.660570929758881,-7.660570929758881,-7.660522935110255,,,,,,1.8318985829828307,-3.2922455872608225e-09,4.2976504198551253e-10,6.814134965470809e-06,6.814134965470809e-06,1.9999946881197537,5.224495630908626e-06,382811.0557290143,1.0000000134934335,0.944610932484371,0.999993065668731,0.9446011118825615,0.0,4.7991356380450156e-05,6.265152958716624e-06,,,,,,7.715326846571395e-07,7.715326846571395e-07,2.7609425339697904e-08,2.7609425339697904e-08,8,9,9,,,,
