panel,n,m,seed,generator,condition,center_scale,prefiltered,screen_relative_gap,screen_absolute_gap,method,status,value,lower_bound,upper_bound,reference_upper_bound,max_distance_squared,bound_gap,relative_bound_gap,runtime,rank1_residual,relative_rank1_residual,rank1_eig_largest,rank1_eig_second,rank1_eig_ratio,sep_rank1_residual,relative_sep_rank1_residual,pd_gap,relative_pd_gap,x_trace,y_trace,max_skew_violation,fro_skew_violation,relative_max_skew_violation,relative_fro_skew_violation,lazy_cut_strategy,max_kron_violation,fro_kron_violation,relative_max_kron_violation,relative_fro_kron_violation,n_cuts,n_iters,n_rounds,full_constraint_count,gurobi_time_limit,gurobi_mip_gap,gurobi_sol_count
square,25,25,207,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-84.3482042387314,-84.3482042387314,-84.34736523104266,-84.3481950242821,128.47447540782107,9.214449292471727e-06,1.0924298123042427e-07,4.894432000000961,2.718093221253144e-05,1.3590589549953004e-05,2.9999788288435014,2.1170955977543016e-05,141702.56799105878,,,-1.8649799926606647e-08,2.211048841516764e-10,1.0000000015865984,1.0000000018611845,,,,,,1.8825643869718777e-06,1.8825643869718777e-06,6.723450703559925e-08,6.723450703559925e-08,2,3,3,,,,
square,25,25,587,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-93.74620070719209,-93.74620070719209,-93.74620165290162,-93.74620165290162,130.5934010346589,0.0,0.0,4.844839417026378,6.672384939592589e-08,3.336192396849126e-08,3.000000010706659,8.037906191515713e-09,373231528.1152774,,,-1.0702987651711737e-07,1.1416982844074467e-09,0.9999999854102765,1.0000000067067443,,,,,,3.323277492169681e-08,9.155964066515357e-08,1.1868848169792854e-09,3.2699871620591528e-09,2,3,3,,,,
square,25,25,1419,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-87.24700564224851,-87.24700564224851,-87.23897173297524,-87.24698185629498,124.78011332059016,2.3785953530364168e-05,2.7262773496086667e-07,11.435864833008964,0.00021611234769330773,0.00010805960057434666,2.9998856755792653,0.00011432080542266387,26240.942446899033,,,-7.406895008443826e-08,8.48956930260207e-10,1.0000000050782403,1.0000000048223048,,,,,,1.6591052160318044e-06,1.6591052160318044e-06,5.925419198811601e-08,5.925419198811601e-08,6,7,7,,,,
square,25,25,1658,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-87.69301937046228,-87.69301937046228,-87.69274745600607,-87.6930117357136,139.96120961081914,7.634748683926773e-06,8.706221702406556e-08,2.620534959016368,8.727683498587523e-06,4.363859917406057e-06,2.99999153873874,8.46084268532108e-06,354573.6104919546,,,-1.8272605473157455e-07,2.0837012574472073e-09,1.0000000149621553,1.0000000155254674,,,,,,1.0306070933009221e-06,1.0306070933009221e-06,3.680740764150016e-08,3.680740764150016e-08,3,4,4,,,,
square,25,25,1758,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-88.13004050885539,-88.13004050885539,-88.13001905015741,-88.13003980742025,120.80261847941989,7.014351410816744e-07,7.959092461907964e-09,4.292328249954153,6.975206409103347e-07,3.4876042523386766e-07,2.9999993714605977,6.305195960999615e-07,4757979.593365379,,,-3.969491046973417e-08,4.5041293797823215e-10,1.000000002995013,0.9999999960351472,,,,,,7.57100012792044e-08,7.57100012792044e-08,2.7039286836796308e-09,2.7039286836796308e-09,2,3,3,,,,
square,25,25,2217,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-98.29020987148505,-98.29020987148505,-98.28984349355136,-98.29020784799246,132.81380223993844,2.0234925841577933e-06,2.0586918949542586e-08,3.82036633399548,9.319505565857418e-06,4.659769499272485e-06,2.999992100498247,7.889173682353303e-06,380266.9609377092,,,-2.8568472032475256e-07,2.9065429883432623e-09,1.0000000133785754,1.0000000237606994,,,,,,3.849589678426177e-07,3.849589678426177e-07,1.3748539075117127e-08,1.3748539075117127e-08,2,3,3,,,,
square,25,25,3690,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-99.14831685396895,-99.14831685396895,-99.14831513689197,-99.14831616751471,161.3717683473158,6.864542427820197e-07,6.923508785258221e-09,2.871061042009387,3.399472395732789e-08,1.6997362147677104e-08,2.9999999747307857,2.274574251013607e-08,131892813.49658781,,,-4.650064795441722e-07,4.690008810024068e-09,1.0000000318410276,1.0000000315438329,,,,,,0.0,0.0,0.0,0.0,2,3,3,,,,
square,25,25,3980,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-101.49042982652878,-101.49042982652878,-101.49042894052535,-101.49042945464171,164.25452445193753,3.7188706869528687e-07,3.6642575002483493e-09,3.8725777079816908,2.4890403781170328e-08,1.244520200566491e-08,2.9999999793401093,2.0692198311056622e-08,144982178.0287644,,,-3.920801816548192e-08,3.8632231859198667e-10,1.0000000031929834,1.0000000031809386,,,,,,5.250108605064224e-10,5.250108605064224e-10,1.8750387891701046e-11,1.8750387891701046e-11,2,3,3,,,,
square,25,25,5665,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-82.66320615606253,-82.66320615606253,-82.66309387102689,-82.66320493879819,106.85496116290155,1.2172643408803197e-06,1.4725588293565667e-08,1.1500731670530513,3.4358253961938088e-06,1.7179152458002778e-06,2.9999968775082917,3.12244002434642e-06,960786.0692652512,,,-1.1053728599108581e-08,1.3372005651752595e-10,1.000000000928539,1.0000000002589011,,,,,,5.542211281450723e-07,5.542211281450723e-07,1.9793614141097373e-08,1.9793614141097373e-08,2,3,3,,,,
square,25,25,5689,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-112.89181470909674,-112.89181470909674,-112.89180392880544,-112.89181369952834,166.5840370271327,1.0095683933286637e-06,8.942795329583035e-09,1.2232617090339772,2.473217231963401e-07,1.236608698971046e-07,2.999999820464166,1.7020494243566683e-07,17625809.083646853,,,-1.9633908721061744e-07,1.7391791222113873e-09,1.000000036756245,0.9999999842980896,,,,,,2.5603078176805207e-08,2.5603078176805207e-08,9.143956573099324e-10,9.143956573099324e-10,2,3,3,,,,
square,30,30,966,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-91.6860967693686,-91.6860967693686,-91.68586151943211,-91.68609301480974,142.36262750156365,3.7545588611465064e-06,4.0950143952478374e-08,13.025094917044044,7.083493045634702e-06,3.5417562449473502e-06,2.9999939777401976,6.018545795084612e-06,498458.2787739712,,,-4.349569451278512e-07,4.743979299521953e-09,1.0000000330869565,1.0000000307185226,,,,,,3.635038876159395e-07,3.635038876159395e-07,1.1015271658458087e-08,1.1015271658458087e-08,3,4,4,,,,
square,30,30,1714,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-122.47943060487819,-122.47943060487819,-122.47938134684743,-122.47942876711075,177.4068775839506,1.8377674422254131e-06,1.5004702692928893e-08,15.478678167040925,1.1736604658526021e-06,5.868305210021528e-07,2.9999989524676276,1.0471726627473597e-06,2864856.063561512,,,-3.855247143746965e-08,3.147669061414967e-10,1.0000000028509117,1.0000000036267231,,,,,,5.6293756572711516e-08,5.6293756572711516e-08,1.7058714716102617e-09,1.7058714716102617e-09,3,4,4,,,,
square,30,30,5295,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-116.5398094875016,-116.5398094875016,-116.53981134744359,-116.53981134744359,170.55044511765456,0.0,0.0,13.472570292011369,9.706630148262665e-08,4.853314926384869e-08,3.000000012363957,5.523613115195287e-10,5431227621.846017,,,-1.64494196042142e-08,1.411485026151371e-10,0.9999999844293882,0.9999999819569221,,,,,,4.854204541236327e-08,1.2581648840431685e-07,1.4709710706502594e-09,3.812620854382404e-09,2,3,3,,,,
square,30,30,6150,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-108.483411863997,-108.483411863997,-108.48341122852281,-108.4834113410958,169.84244841019952,5.229012032259561e-07,4.820102854817145e-09,13.604550166986883,1.279390978053917e-08,6.396954932758181e-09,2.9999999861487443,1.1699124258773447e-08,256429448.88793486,,,-8.677913854171493e-08,7.999300266340056e-10,1.0000000056590066,1.0000000056033196,,,,,,0.0,0.0,0.0,0.0,2,3,3,,,,
square,30,30,7721,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-102.31995785452946,-102.31995785452946,-102.319452129046,-102.31994971887268,147.43452314498307,8.135656784702405e-06,7.951192470455322e-08,18.436138375021983,1.3746430594841123e-05,6.873262123669608e-06,2.9999863344622537,1.366112512616024e-05,219600.23839599118,,,-7.609169472289068e-08,7.436642500485772e-10,1.0000000046011133,1.000000001709223,,,,,,8.047357821580044e-07,8.047357821580044e-07,2.4385942960572035e-08,2.4385942960572035e-08,3,4,4,,,,
square,30,30,11913,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-92.74197595315223,-92.74197595315223,-92.74122993670586,-92.74197102322319,151.50974665746512,4.929929048103077e-06,5.315747262699455e-08,24.871460499998648,2.1293173937599435e-05,1.0646671056681424e-05,2.999982370938452,1.7627669925035177e-05,170185.98508460927,,,-1.3547980870498577e-07,1.460825125975558e-09,1.0000000103272713,1.0000000106772904,,,,,,7.733748382792898e-07,7.733748382792898e-07,2.3435616046537825e-08,2.3435616046537825e-08,6,7,7,,,,
square,30,30,12221,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-92.48880426146218,-92.48880426146218,-92.48807568988218,-92.48879097901687,149.77510049411882,1.3282445308959723e-05,1.4361138534574172e-07,32.2706785830087,2.13359978952777e-05,1.0668075466527223e-05,2.999983321012393,1.6671064947504907e-05,179951.5106238842,,,-2.6927313001579023e-07,2.9114132479707032e-09,1.0000000194187404,1.0000000193498004,,,,,,1.2297425352614783e-06,1.2297425352614783e-06,3.7264948949243294e-08,3.7264948949243294e-08,6,7,7,,,,
square,30,30,13508,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-90.64877528910702,-90.64877528910702,-90.64713405310702,-90.64875456505001,136.08429926158738,2.0724057009147145e-05,2.2861927194329662e-07,27.599910749995615,4.7718276311228875e-05,2.3859583852497893e-05,2.9999591860480868,4.0812325756653174e-05,73506.20506009847,,,-1.1408441480398324e-07,1.2585323347186181e-09,1.0000000089034513,1.000000009217185,,,,,,2.793607767496451e-06,2.793607767496451e-06,8.465490169747442e-08,8.465490169747442e-08,5,6,6,,,,
square,30,30,15956,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-101.01995890017385,-101.01995890017385,-101.01989886607771,-101.01995735135156,149.63754146002358,1.5488222828707876e-06,1.5331844318025377e-08,11.654454624978825,1.6712578966130125e-06,8.356296473989353e-07,2.99999832376571,1.6668913116026305e-06,1799756.4105612654,,,-4.191531672859128e-07,4.149211421676706e-09,1.0000000264515088,1.0000000256497596,,,,,,3.1468069165527784e-07,3.1468069165527784e-07,9.535779024453816e-09,9.535779024453816e-09,2,3,3,,,,
square,30,30,16562,ellipsoids,5.0,1.0,True,,,Lazy KRON,Optimal,-101.69171167447068,-101.69171167447068,-101.6917146017702,-101.6917146017702,137.54096021125264,0.0,0.0,9.564255292003509,1.260870775393836e-07,6.304353637372718e-08,3.0000000130747018,3.547441765396751e-09,845679848.035272,,,-1.525677362224087e-08,1.500296668334183e-10,0.9999999536748999,1.000000001620439,,,,,,6.303783574399428e-08,1.8403023449146576e-07,1.9102374428300525e-09,5.576673760914839e-09,2,3,3,,,,
