instance,formulation,theta_semantics,generator,normalization,normalization_center_x1,normalization_center_x2,normalization_radius,num_sites,seed,method,status,theta_bound,distance_bound,squared_distance_bound,theta_reference,reference_method,theta_feasible_grid,theta_gurobi,gurobi_status,gurobi_gap,gurobi_runtime,grid_x1,grid_x2,runtime,relaxation_gap,rel_gap,eval_ratio,soc_pair_blocks,sep_pair_blocks,num_distance_blocks,num_hull_facets,num_cone_blocks,num_nonnegative_rows,radius_squared,lazy_cut_strategy,n_cuts,n_rounds,max_skew_violation
random_disk_normalized_4_seed_0,unit-sphere,distance,random-disk,minimum-disk,-0.05383895348489941,0.04597557262081199,0.9043455085855521,4,0,Shor,PrimalAndDualFeasible,1.3956194089228213,1.3956194089228213,1.947753534562085,0.9764751785173812,planar-arrangement,0.9494145404560151,,,,,-0.07287353335875302,0.02096871686210279,0.12785216700285673,0.41914423040544013,1.3968441546095085e-11,5.868012657108974,10,0,4,4,6,4,1.0,,0,1,
random_disk_normalized_4_seed_0,unit-sphere,distance,random-disk,minimum-disk,-0.05383895348489941,0.04597557262081199,0.9043455085855521,4,0,RLT,PrimalAndDualFeasible,1.3956194091080596,1.3956194091080596,1.9477535350791295,0.9764751785173812,planar-arrangement,0.9494145404560151,,,,,-0.07287353335875302,0.02096871686210279,0.006999958073720336,0.4191442305906784,1.920430015720572e-11,4.015974770062388,10,0,4,4,6,4,1.0,,0,1,
random_disk_normalized_4_seed_0,unit-sphere,distance,random-disk,minimum-disk,-0.05383895348489941,0.04597557262081199,0.9043455085855521,4,0,KRON,PrimalAndDualFeasible,1.1306583900507001,1.1306583900507001,1.2783883949920412,0.9764751785173812,planar-arrangement,0.9494145404560151,,,,,-0.07287353335875302,0.02096871686210279,0.07603258301969618,0.15418321153331893,6.956357521279627e-12,4.88732437475795,10,0,4,4,6,4,1.0,,0,1,
random_disk_normalized_4_seed_0,unit-sphere,distance,random-disk,minimum-disk,-0.05383895348489941,0.04597557262081199,0.9043455085855521,4,0,Full SEP,PrimalAndDualFeasible,1.0515024244492202,1.0515024244492202,1.105657348622588,0.9764751785173812,planar-arrangement,0.9494145404560151,,,,,-0.07287353335875302,0.02096871686210279,0.04611812497023493,0.07502724593183896,3.310283596001968e-12,3.397329391249832,10,10,4,4,6,4,1.0,,0,1,
random_disk_normalized_4_seed_1,unit-sphere,distance,random-disk,minimum-disk,0.07769592774719991,0.2258519701521002,0.6885711270394427,4,1,Shor,PrimalAndDualFeasible,1.4128679805600437,1.4128679805600437,1.996195930491816,0.9981436331741818,planar-arrangement,0.9947588651728864,,,,,-0.005459241818018948,0.008060898724970648,0.0021440000273287296,0.41472434738586195,1.9959950566369688e-11,5.962372449039089,10,0,4,4,6,4,1.0,,0,1,
random_disk_normalized_4_seed_1,unit-sphere,distance,random-disk,minimum-disk,0.07769592774719991,0.2258519701521002,0.6885711270394427,4,1,RLT,PrimalAndDualFeasible,1.4128679806675672,1.4128679806675672,1.9961959307956492,0.9981436331741818,planar-arrangement,0.9947588651728864,,,,,-0.005459241818018948,0.008060898724970648,0.0050095000769943,0.4147243474933855,2.8043255138425925e-11,3.626281425275863,10,0,4,4,6,4,1.0,,0,1,
random_disk_normalized_4_seed_1,unit-sphere,distance,random-disk,minimum-disk,0.07769592774719991,0.2258519701521002,0.6885711270394427,4,1,KRON,PrimalAndDualFeasible,1.122225166482813,1.122225166482813,1.259389324287377,0.9981436331741818,planar-arrangement,0.9947588651728864,,,,,-0.005459241818018948,0.008060898724970648,0.07101124990731478,0.12408153330863114,4.770428951788083e-11,4.219425702562181,10,0,4,4,6,4,1.0,,0,1,
random_disk_normalized_4_seed_1,unit-sphere,distance,random-disk,minimum-disk,0.07769592774719991,0.2258519701521002,0.6885711270394427,4,1,Full SEP,PrimalAndDualFeasible,1.052268182750872,1.052268182750872,1.1072683284298226,0.9981436331741818,planar-arrangement,0.9947588651728864,,,,,-0.005459241818018948,0.008060898724970648,0.04683550004847348,0.05412454957669022,8.65162413073005e-12,3.078550803752242,10,10,4,4,6,4,1.0,,0,1,
random_disk_normalized_4_seed_2,unit-sphere,distance,random-disk,minimum-disk,-0.042919742032946503,0.20779428269583666,0.6428143059328619,4,2,Shor,PrimalAndDualFeasible,1.136841989851168,1.136841989851168,1.292409709888763,0.6122558948192832,planar-arrangement,0.3719844113204218,,,,,-0.0952052244848558,0.2708939564446925,0.0022633750922977924,0.5245860950318847,1.7173250163601846e-11,5.204339808414942,10,0,4,4,6,4,1.0,,0,1,
random_disk_normalized_4_seed_2,unit-sphere,distance,random-disk,minimum-disk,-0.042919742032946503,0.20779428269583666,0.6428143059328619,4,2,RLT,PrimalAndDualFeasible,1.1368419897636741,1.1368419897636741,1.2924097096898297,0.6122558948192832,planar-arrangement,0.3719844113204218,,,,,-0.0952052244848558,0.2708939564446925,0.004837667103856802,0.5245860949443909,5.7112653748371584e-11,2.7958554877914086,10,0,4,4,6,4,1.0,,0,1,
