instance,formulation,theta_semantics,generator,normalization,normalization_center_x1,normalization_center_x2,normalization_radius,num_sites,seed,method,status,theta_bound,distance_bound,squared_distance_bound,theta_reference,reference_method,theta_feasible_grid,theta_gurobi,gurobi_status,gurobi_gap,gurobi_runtime,grid_x1,grid_x2,runtime,relaxation_gap,rel_gap,eval_ratio,soc_pair_blocks,sep_pair_blocks,num_distance_blocks,num_hull_facets,num_cone_blocks,num_nonnegative_rows,radius_squared,lazy_cut_strategy,n_cuts,n_rounds,max_skew_violation
regular_20,unit-sphere,distance,regular,none,0.0,0.0,1.0,20,,Shor,PrimalAndDualFeasible,1.4142135613094324,1.4142135613094324,1.9999999969915079,0.9999999999999999,planar-arrangement,0.9999999999999999,,,,,-0.0,0.0,0.05228295794222504,0.41421356130943254,3.252446530662572e-11,5.999999998288897,210,0,20,20,22,20,1.0,,0,1,
regular_20,unit-sphere,distance,regular,none,0.0,0.0,1.0,20,,RLT,PrimalAndDualFeasible,1.4142135621301215,1.4142135621301215,1.999999999312767,0.9999999999999999,planar-arrangement,0.9999999999999999,,,,,-0.0,0.0,0.057242582901380956,0.4142135621301216,1.635125688590017e-11,5.999999960224199,210,0,20,20,22,20,1.0,,0,1,
regular_20,unit-sphere,distance,regular,none,0.0,0.0,1.0,20,,Full SEP,PrimalAndDualFeasible,1.0017346066783968,1.0017346066783968,1.0034722222171222,0.9999999999999999,planar-arrangement,0.9999999999999999,,,,,-0.0,0.0,4.092843874939717,0.0017346066783968661,2.4008671691278494e-11,2.2515685409603767,210,210,20,20,22,20,1.0,,0,1,
regular_24,unit-sphere,distance,regular,none,0.0,0.0,1.0,24,,Shor,PrimalAndDualFeasible,1.4142135611842277,1.4142135611842277,1.9999999966373754,1.0,planar-arrangement,1.0,,,,,-0.0,0.0,0.011595208081416786,0.4142135611842277,3.2772382908947887e-11,5.999999997145781,300,0,24,24,26,24,1.0,,0,1,
regular_24,unit-sphere,distance,regular,none,0.0,0.0,1.0,24,,RLT,PrimalAndDualFeasible,1.414213562105571,1.414213562105571,1.9999999992433275,1.0,planar-arrangement,1.0,,,,,-0.0,0.0,0.0969562919344753,0.4142135621055709,3.359071507611667e-11,5.999999954463458,300,0,24,24,26,24,1.0,,0,1,
regular_24,unit-sphere,distance,regular,none,0.0,0.0,1.0,24,,Full SEP,PrimalAndDualFeasible,1.0017346065179835,1.0017346065179835,1.0034722218957393,1.0,planar-arrangement,1.0,,,,,-0.0,0.0,8.907894667005166,0.0017346065179835168,9.88648430923307e-11,2.250147662324591,300,300,24,24,26,24,1.0,,0,1,
regular_32,unit-sphere,distance,regular,none,0.0,0.0,1.0,32,,Shor,PrimalAndDualFeasible,1.4142135622005296,1.4142135622005296,1.9999999995119113,0.9999999999999999,planar-arrangement,0.9999999999999998,,,,,-0.0,0.0,0.006878916057758033,0.41421356220052974,5.836033669656747e-12,5.992824197667319,528,0,32,32,34,32,1.0,,0,1,
regular_32,unit-sphere,distance,regular,none,0.0,0.0,1.0,32,,RLT,PrimalAndDualFeasible,1.4142135623104455,1.4142135623104455,1.9999999998228002,0.9999999999999999,planar-arrangement,0.9999999999999998,,,,,-0.0,0.0,0.1603467499371618,0.4142135623104456,1.5038031551334572e-11,5.999826553730489,528,0,32,32,34,32,1.0,,0,1,
regular_32,unit-sphere,distance,regular,none,0.0,0.0,1.0,32,,Full SEP,PrimalAndDualFeasible,1.0017346066801922,1.0017346066801922,1.0034722222207193,0.9999999999999999,planar-arrangement,0.9999999999999998,,,,,-0.0,0.0,31.831730084028095,0.0017346066801923188,4.4255638298130784e-10,2.248046577763661,528,528,32,32,34,32,1.0,,0,1,
