instance,formulation,theta_semantics,generator,normalization,normalization_center_x1,normalization_center_x2,normalization_radius,num_sites,seed,method,status,theta_bound,distance_bound,squared_distance_bound,theta_reference,reference_method,theta_feasible_grid,theta_gurobi,gurobi_status,gurobi_gap,gurobi_runtime,grid_x1,grid_x2,runtime,relaxation_gap,rel_gap,eval_ratio,soc_pair_blocks,sep_pair_blocks,num_distance_blocks,num_hull_facets,num_cone_blocks,num_nonnegative_rows,radius_squared,lazy_cut_strategy,n_cuts,n_rounds,max_skew_violation
random_disk_normalized_10_seed_0,unit-sphere,distance,random-disk,minimum-disk,0.08361188436435335,-0.17059609768019962,0.907853305175488,10,0,Shor,PrimalAndDualFeasible,1.0681102664300066,1.0681102664300066,1.1408595412531797,0.4498142829099659,planar-arrangement,0.2019110203533117,,,,,-0.26800357825051285,-0.17184902439267702,0.0429551659617573,0.6182959835200408,3.986016793573148e-11,4.575358855179709,55,0,10,6,12,6,1.0,,0,1,
random_disk_normalized_10_seed_0,unit-sphere,distance,random-disk,minimum-disk,0.08361188436435335,-0.17059609768019962,0.907853305175488,10,0,RLT,PrimalAndDualFeasible,1.056885732518579,1.056885732518579,1.1170074516013333,0.4498142829099659,planar-arrangement,0.2019110203533117,,,,,-0.26800357825051285,-0.17184902439267702,0.00933995796367526,0.6070714496086131,2.682050991223058e-11,2.7164747013722077,55,0,10,6,12,6,1.0,,0,1,
random_disk_normalized_10_seed_0,unit-sphere,distance,random-disk,minimum-disk,0.08361188436435335,-0.17059609768019962,0.907853305175488,10,0,KRON,PrimalAndDualFeasible,0.8385485859389443,0.8385485859389443,0.7031637309802031,0.4498142829099659,planar-arrangement,0.2019110203533117,,,,,-0.26800357825051285,-0.17184902439267702,1.1590483750915155,0.38873430302897843,6.959766096770181e-12,4.266156120472848,55,0,10,6,12,6,1.0,,0,1,
random_disk_normalized_10_seed_0,unit-sphere,distance,random-disk,minimum-disk,0.08361188436435335,-0.17059609768019962,0.907853305175488,10,0,Full SEP,PrimalAndDualFeasible,0.7819303616732185,0.7819303616732185,0.6114150905064103,0.4498142829099659,planar-arrangement,0.2019110203533117,,,,,-0.26800357825051285,-0.17184902439267702,0.29328945896122605,0.3321160787632526,4.84742246342762e-11,4.460323506951953,55,55,10,6,12,6,1.0,,0,1,
random_disk_normalized_10_seed_0,unit-sphere,distance,random-disk,minimum-disk,0.08361188436435335,-0.17059609768019962,0.907853305175488,10,0,Lazy SEP,PrimalAndDualFeasible,0.7819303616718961,0.7819303616718961,0.6114150905043423,0.4498142829099659,planar-arrangement,0.2019110203533117,,,,,-0.26800357825051285,-0.17184902439267702,1.4448475420940667,0.3321160787619302,2.069999727183358e-11,4.460323487028973,55,55,10,6,12,6,1.0,coordinate,495,11,6.4832026432212666e-12
random_disk_normalized_10_seed_1,unit-sphere,distance,random-disk,minimum-disk,-0.011770084436318273,-0.172980237722736,0.8607614120773266,10,1,Shor,PrimalAndDualFeasible,1.0913788947362453,1.0913788947362453,1.1911078918757083,0.5363523980091541,planar-arrangement,0.2870568647987384,,,,,0.05509729584063008,0.3378400461381083,0.003310375032015145,0.5550264967270911,4.5100707077872107e-11,4.965472379422347,55,0,10,6,12,6,1.0,,0,1,
random_disk_normalized_10_seed_1,unit-sphere,distance,random-disk,minimum-disk,-0.011770084436318273,-0.172980237722736,0.8607614120773266,10,1,RLT,PrimalAndDualFeasible,1.0913788946780423,1.0913788946780423,1.1911078917486653,0.5363523980091541,planar-arrangement,0.2870568647987384,,,,,0.05509729584063008,0.3378400461381083,0.008430790971033275,0.5550264966688881,1.7162707497057904e-11,3.1998454886465644,55,0,10,6,12,6,1.0,,0,1,
random_disk_normalized_10_seed_1,unit-sphere,distance,random-disk,minimum-disk,-0.011770084436318273,-0.172980237722736,0.8607614120773266,10,1,KRON,PrimalAndDualFeasible,0.868937521114891,0.868937521114891,0.7550524156012915,0.5363523980091541,planar-arrangement,0.2870568647987384,,,,,0.05509729584063008,0.3378400461381083,1.3193312499206513,0.33258512310573685,1.2947087846271188e-11,5.291857946291967,55,0,10,6,12,6,1.0,,0,1,
random_disk_normalized_10_seed_1,unit-sphere,distance,random-disk,minimum-disk,-0.011770084436318273,-0.172980237722736,0.8607614120773266,10,1,Full SEP,PrimalAndDualFeasible,0.7952887068665984,0.7952887068665984,0.6324841272695462,0.5363523980091541,planar-arrangement,0.2870568647987384,,,,,0.05509729584063008,0.3378400461381083,0.3029133750824258,0.25893630885744423,6.359845983183732e-11,4.484942477077071,55,55,10,6,12,6,1.0,,0,1,
random_disk_normalized_10_seed_1,unit-sphere,distance,random-disk,minimum-disk,-0.011770084436318273,-0.172980237722736,0.8607614120773266,10,1,Lazy SEP,PrimalAndDualFeasible,0.7952887072111882,0.7952887072111882,0.632484127817643,0.5363523980091541,planar-arrangement,0.2870568647987384,,,,,0.05509729584063008,0.3378400461381083,1.5879928750218824,0.25893630920203403,5.39669420263067e-11,4.48494146431606,55,55,10,6,12,6,1.0,coordinate,495,12,3.0059010835969957e-12
random_disk_normalized_10_seed_2,unit-sphere,distance,random-disk,minimum-disk,0.13362127215748895,0.06056903174487932,0.8824890503028344,10,2,Shor,PrimalAndDualFeasible,1.174495802031862,1.174495802031862,1.379440388990467,0.6510198688700749,planar-arrangement,0.42199113605425737,,,,,0.182985681987067,-0.10441609309413755,0.004392875009216368,0.5234759331617872,3.325671014356859e-11,5.134204036872094,55,0,10,7,12,7,1.0,,0,1,
random_disk_normalized_10_seed_2,unit-sphere,distance,random-disk,minimum-disk,0.13362127215748895,0.06056903174487932,0.8824890503028344,10,2,RLT,PrimalAndDualFeasible,1.174495801813233,1.174495801813233,1.379440388476909,0.6510198688700749,planar-arrangement,0.42199113605425737,,,,,0.182985681987067,-0.10441609309413755,0.010248417034745216,0.5234759329431581,1.1429713634824918e-11,3.184152930966404,55,0,10,7,12,7,1.0,,0,1,
random_disk_normalized_10_seed_2,unit-sphere,distance,random-disk,minimum-disk,0.13362127215748895,0.06056903174487932,0.8824890503028344,10,2,KRON,PrimalAndDualFeasible,0.9184591018580388,0.9184591018580388,0.8435671217858753,0.6510198688700749,planar-arrangement,0.42199113605425737,,,,,0.182985681987067,-0.10441609309413755,1.3850022919941694,0.2674392329879639,4.559119748392959e-11,4.950111270950541,55,0,10,7,12,7,1.0,,0,1,
random_disk_normalized_10_seed_2,unit-sphere,distance,random-disk,minimum-disk,0.13362127215748895,0.06056903174487932,0.8824890503028344,10,2,Full SEP,PrimalAndDualFeasible,0.8325123243228879,0.8325123243228879,0.6930767701494973,0.6510198688700749,planar-arrangement,0.42199113605425737,,,,,0.182985681987067,-0.10441609309413755,0.3295785420341417,0.181492455452813,3.3110625352605894e-11,4.049376309892356,55,55,10,7,12,7,1.0,,0,1,
random_disk_normalized_10_seed_2,unit-sphere,distance,random-disk,minimum-disk,0.13362127215748895,0.06056903174487932,0.8824890503028344,10,2,Lazy SEP,PrimalAndDualFeasible,0.832512324322537,0.832512324322537,0.693076770148913,0.6510198688700749,planar-arrangement,0.42199113605425737,,,,,0.182985681987067,-0.10441609309413755,1.611316291964613,0.18149245545246206,4.069522496763511e-12,4.049376331499896,55,55,10,7,12,7,1.0,coordinate,495,11,3.894010114358082e-12
